These stats, other than Total, are cummulative over previous MBs within each Frame
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
   Frame  |   MB   |  Total  |   Type   |  P Motion  |  B Motion  |   cbp   |    C    |    y    |    Cb   |    Cr   | Delta quan | Stuffing |
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
       0  |      0 |      73 |       18 |        0   |        0   |       9 |       1 |      44 |       0 |       0 |       1    |     0    |
       0  |      1 |       6 |       21 |        0   |        0   |       9 |       2 |      45 |       0 |       0 |       2    |     0    |
       0  |      2 |       6 |       24 |        0   |        0   |       9 |       3 |      46 |       0 |       0 |       3    |     0    |
       0  |      3 |       6 |       27 |        0   |        0   |       9 |       4 |      47 |       0 |       0 |       4    |     0    |
       0  |      4 |       6 |       30 |        0   |        0   |       9 |       5 |      48 |       0 |       0 |       5    |     0    |
       0  |      5 |       6 |       33 |        0   |        0   |       9 |       6 |      49 |       0 |       0 |       6    |     0    |
       0  |      6 |       6 |       36 |        0   |        0   |       9 |       7 |      50 |       0 |       0 |       7    |     0    |
       0  |      7 |       6 |       39 |        0   |        0   |       9 |       8 |      51 |       0 |       0 |       8    |     0    |
       0  |      8 |       6 |       42 |        0   |        0   |       9 |       9 |      52 |       0 |       0 |       9    |     0    |
       0  |      9 |       6 |       45 |        0   |        0   |       9 |      10 |      53 |       0 |       0 |      10    |     0    |
       0  |     10 |       6 |       48 |        0   |        0   |       9 |      11 |      54 |       0 |       0 |      11    |     0    |
       0  |     11 |       6 |       51 |        0   |        0   |       9 |      12 |      55 |       0 |       0 |      12    |     0    |
       0  |     12 |       6 |       54 |        0   |        0   |       9 |      13 |      56 |       0 |       0 |      13    |     0    |
       0  |     13 |       6 |       57 |        0   |        0   |       9 |      14 |      57 |       0 |       0 |      14    |     0    |
       0  |     14 |       6 |       60 |        0   |        0   |       9 |      15 |      58 |       0 |       0 |      15    |     0    |
       0  |     15 |       6 |       63 |        0   |        0   |       9 |      16 |      59 |       0 |       0 |      16    |     0    |
       0  |     16 |       6 |       66 |        0   |        0   |       9 |      17 |      60 |       0 |       0 |      17    |     0    |
       0  |     17 |       6 |       69 |        0   |        0   |       9 |      18 |      61 |       0 |       0 |      18    |     0    |
       0  |     18 |       6 |       72 |        0   |        0   |       9 |      19 |      62 |       0 |       0 |      19    |     0    |
       0  |     19 |       6 |       75 |        0   |        0   |       9 |      20 |      63 |       0 |       0 |      20    |     0    |
       0  |     20 |     259 |       96 |        0   |        0   |      18 |     102 |     209 |       0 |       0 |      21    |     0    |
       0  |     21 |     201 |      105 |        0   |        0   |      18 |     171 |     331 |       0 |       0 |      22    |     0    |
       0  |     22 |      91 |      114 |        0   |        0   |      18 |     203 |     380 |       0 |       0 |      23    |     0    |
       0  |     23 |     117 |      135 |        0   |        0   |      27 |     211 |     458 |       0 |       0 |      24    |     0    |
       0  |     24 |     143 |      168 |        0   |        0   |      36 |     275 |     494 |       0 |       0 |      25    |     0    |
       0  |     25 |      98 |      177 |        0   |        0   |      36 |     303 |     554 |       0 |       0 |      26    |     0    |
       0  |     26 |      16 |      182 |        0   |        0   |      36 |     312 |     555 |       0 |       0 |      27    |     0    |
       0  |     27 |      73 |      203 |        0   |        0   |      45 |     313 |     596 |       0 |       0 |      28    |     0    |
       0  |     28 |     152 |      221 |        0   |        0   |      54 |     321 |     712 |       0 |       0 |      29    |     0    |
       0  |     29 |      80 |      239 |        0   |        0   |      65 |     324 |     759 |       0 |       0 |      30    |     0    |
       0  |     30 |     274 |      257 |        0   |        0   |      74 |     327 |    1002 |       0 |       0 |      31    |     0    |
       0  |     31 |     167 |      275 |        0   |        0   |      83 |     388 |    1080 |       0 |       0 |      32    |     0    |
       0  |     32 |     168 |      284 |        0   |        0   |      83 |     396 |    1230 |       0 |       0 |      33    |     0    |
       0  |     33 |     112 |      311 |        0   |        0   |      92 |     404 |    1297 |       0 |       0 |      34    |     0    |
       0  |     34 |     127 |      329 |        0   |        0   |     101 |     407 |    1393 |       0 |       0 |      35    |     0    |
       0  |     35 |     320 |      347 |        0   |        0   |     110 |     515 |    1577 |       0 |       0 |      36    |     0    |
       0  |     36 |     214 |      368 |        0   |        0   |     119 |     578 |    1697 |       0 |       0 |      37    |     0    |
       0  |     37 |      70 |      377 |        0   |        0   |     128 |     586 |    1740 |       0 |       0 |      38    |     0    |
       0  |     38 |      44 |      383 |        0   |        0   |     139 |     589 |    1763 |       0 |       0 |      39    |     0    |
       0  |     39 |     104 |      401 |        0   |        0   |     148 |     595 |    1833 |       0 |       0 |      40    |     0    |
       0  |     40 |    1085 |      455 |        0   |        0   |     149 |     750 |    2707 |       0 |       0 |      41    |     0    |
       0  |     41 |     600 |      503 |        0   |        0   |     150 |     868 |    3139 |       0 |       0 |      42    |     0    |
       0  |     42 |     331 |      542 |        0   |        0   |     151 |     952 |    3345 |       0 |       0 |      43    |     0    |
       0  |     43 |     165 |      548 |        0   |        0   |     154 |     968 |    3484 |       0 |       0 |      44    |     0    |
       0  |     44 |     229 |      587 |        0   |        0   |     155 |    1031 |    3609 |       0 |       0 |      45    |     0    |
       0  |     45 |     133 |      614 |        0   |        0   |     160 |    1043 |    3697 |       0 |       0 |      46    |     0    |
       0  |     46 |     147 |      623 |        0   |        0   |     160 |    1051 |    3826 |       0 |       0 |      47    |     0    |
       0  |     47 |      95 |      647 |        0   |        0   |     163 |    1070 |    3874 |       0 |       0 |      48    |     0    |
       0  |     48 |     207 |      686 |        0   |        0   |     168 |    1084 |    4022 |       0 |       0 |      49    |     0    |
       0  |     49 |     186 |      722 |        0   |        0   |     173 |    1098 |    4152 |       0 |       0 |      50    |     0    |
       0  |     50 |     778 |      773 |        0   |        0   |     174 |    1133 |    4842 |       0 |       0 |      51    |     0    |
       0  |     51 |     285 |      785 |        0   |        0   |     175 |    1176 |    5070 |       0 |       0 |      52    |     0    |
       0  |     52 |     199 |      824 |        0   |        0   |     182 |    1218 |    5180 |       0 |       0 |      53    |     0    |
       0  |     53 |     176 |      866 |        0   |        0   |     191 |    1223 |    5299 |       0 |       0 |      54    |     0    |
       0  |     54 |     245 |      878 |        0   |        0   |     198 |    1266 |    5481 |       0 |       0 |      55    |     0    |
       0  |     55 |     385 |      929 |        0   |        0   |     199 |    1339 |    5740 |       0 |       0 |      56    |     0    |
       0  |     56 |     304 |      980 |        0   |        0   |     200 |    1412 |    5918 |       0 |       0 |      57    |     0    |
       0  |     57 |      97 |      989 |        0   |        0   |     203 |    1428 |    5986 |       0 |       0 |      58    |     0    |
       0  |     58 |      31 |      994 |        0   |        0   |     203 |    1444 |    5995 |       0 |       0 |      59    |     0    |
       0  |     59 |     583 |     1051 |        0   |        0   |     204 |    1584 |    6379 |       0 |       0 |      60    |     0    |
       0  |     60 |    1059 |     1108 |        0   |        0   |     205 |    1783 |    7180 |       0 |       0 |      61    |     0    |
       0  |     61 |     724 |     1162 |        0   |        0   |     206 |    1964 |    7667 |       0 |       0 |      62    |     0    |
       0  |     62 |     512 |     1210 |        0   |        0   |     209 |    1986 |    8105 |       0 |       0 |      63    |     0    |
       0  |     63 |     122 |     1240 |        0   |        0   |     218 |    1989 |    8184 |       0 |       0 |      64    |     0    |
       0  |     64 |       8 |     1243 |        0   |        0   |     218 |    1992 |    8185 |       0 |       0 |      65    |     0    |
       0  |     65 |       8 |     1246 |        0   |        0   |     218 |    1995 |    8186 |       0 |       0 |      66    |     0    |
       0  |     66 |      63 |     1252 |        0   |        0   |     229 |    1998 |    8228 |       0 |       0 |      67    |     0    |
       0  |     67 |     418 |     1309 |        0   |        0   |     232 |    2006 |    8577 |       0 |       0 |      68    |     0    |
       0  |     68 |     289 |     1354 |        0   |        0   |     239 |    2061 |    8758 |       0 |       0 |      69    |     0    |
       0  |     69 |     277 |     1387 |        0   |        0   |     246 |    2069 |    8986 |       0 |       0 |      70    |     0    |
       0  |     70 |     726 |     1432 |        0   |        0   |     247 |    2135 |    9599 |       0 |       0 |      71    |     0    |
       0  |     71 |     426 |     1489 |        0   |        0   |     254 |    2186 |    9909 |       0 |       0 |      72    |     0    |
       0  |     72 |     227 |     1534 |        0   |        0   |     263 |    2229 |   10038 |       0 |       0 |      73    |     0    |
       0  |     73 |      62 |     1546 |        0   |        0   |     272 |    2237 |   10070 |       0 |       0 |      74    |     0    |
       0  |     74 |     255 |     1579 |        0   |        0   |     277 |    2255 |   10268 |       0 |       0 |      75    |     0    |
       0  |     75 |     227 |     1621 |        0   |        0   |     278 |    2294 |   10412 |       0 |       0 |      76    |     0    |
       0  |     76 |     276 |     1657 |        0   |        0   |     279 |    2332 |   10612 |       0 |       0 |      77    |     0    |
       0  |     77 |     251 |     1693 |        0   |        0   |     282 |    2335 |   10820 |       0 |       0 |      78    |     0    |
       0  |     78 |     269 |     1720 |        0   |        0   |     291 |    2342 |   11045 |       0 |       0 |      79    |     0    |
       0  |     79 |     557 |     1774 |        0   |        0   |     300 |    2395 |   11485 |       0 |       0 |      80    |     0    |
       0  |     80 |    1057 |     1831 |        0   |        0   |     301 |    2588 |   12290 |       0 |       0 |      81    |     0    |
       0  |     81 |     751 |     1873 |        0   |        0   |     302 |    2707 |   12878 |       0 |       0 |      82    |     0    |
       0  |     82 |     456 |     1918 |        0   |        0   |     305 |    2718 |   13274 |       0 |       0 |      83    |     0    |
       0  |     83 |     211 |     1957 |        0   |        0   |     314 |    2759 |   13395 |       0 |       0 |      84    |     0    |
       0  |     84 |     310 |     1990 |        0   |        0   |     323 |    2767 |   13654 |       0 |       0 |      85    |     0    |
       0  |     85 |     443 |     2029 |        0   |        0   |     332 |    2783 |   14032 |       0 |       0 |      86    |     0    |
       0  |     86 |     355 |     2071 |        0   |        0   |     335 |    2791 |   14333 |       0 |       0 |      87    |     0    |
       0  |     87 |     456 |     2116 |        0   |        0   |     338 |    2794 |   14737 |       0 |       0 |      88    |     0    |
       0  |     88 |     310 |     2167 |        0   |        0   |     341 |    2813 |   14973 |       0 |       0 |      89    |     0    |
       0  |     89 |     380 |     2215 |        0   |        0   |     344 |    2821 |   15293 |       0 |       0 |      90    |     0    |
       0  |     90 |     657 |     2275 |        0   |        0   |     345 |    2887 |   15822 |       0 |       0 |      91    |     0    |
       0  |     91 |     523 |     2320 |        0   |        0   |     346 |    2959 |   16226 |       0 |       0 |      92    |     0    |
       0  |     92 |     667 |     2368 |        0   |        0   |     347 |    3055 |   16747 |       0 |       0 |      93    |     0    |
       0  |     93 |     107 |     2401 |        0   |        0   |     352 |    3079 |   16791 |       0 |       0 |      94    |     0    |
       0  |     94 |     683 |     2443 |        0   |        0   |     353 |    3137 |   17372 |       0 |       0 |      95    |     0    |
       0  |     95 |     161 |     2455 |        0   |        0   |     358 |    3166 |   17486 |       0 |       0 |      96    |     0    |
       0  |     96 |     337 |     2479 |        0   |        0   |     361 |    3173 |   17788 |       0 |       0 |      97    |     0    |
       0  |     97 |     783 |     2530 |        0   |        0   |     364 |    3199 |   18490 |       0 |       0 |      98    |     0    |
       0  |     98 |     609 |     2581 |        0   |        0   |     367 |    3212 |   19031 |       0 |       0 |      99    |     0    |
       0  |     99 |     475 |     2629 |        0   |        0   |     370 |    3235 |   19431 |       0 |       0 |     100    |     0    |
       0  |    100 |     567 |     2674 |        0   |        0   |     371 |    3339 |   19847 |       0 |       0 |     101    |     0    |
       0  |    101 |     676 |     2719 |        0   |        0   |     372 |    3391 |   20424 |       0 |       0 |     102    |     0    |
       0  |    102 |     597 |     2776 |        0   |        0   |     373 |    3418 |   20935 |       0 |       0 |     103    |     0    |
       0  |    103 |     272 |     2794 |        0   |        0   |     380 |    3463 |   21136 |       0 |       0 |     104    |     0    |
       0  |    104 |     343 |     2812 |        0   |        0   |     389 |    3477 |   21437 |       0 |       0 |     105    |     0    |
       0  |    105 |     905 |     2875 |        0   |        0   |     392 |    3499 |   22253 |       0 |       0 |     106    |     0    |
       0  |    106 |     624 |     2929 |        0   |        0   |     395 |    3502 |   22816 |       0 |       0 |     107    |     0    |
       0  |    107 |     527 |     2971 |        0   |        0   |     396 |    3544 |   23257 |       0 |       0 |     108    |     0    |
       0  |    108 |     477 |     3025 |        0   |        0   |     397 |    3650 |   23572 |       0 |       0 |     109    |     0    |
       0  |    109 |     381 |     3076 |        0   |        0   |     398 |    3732 |   23818 |       0 |       0 |     110    |     0    |
       0  |    110 |     585 |     3127 |        0   |        0   |     399 |    3858 |   24224 |       0 |       0 |     111    |     0    |
       0  |    111 |     558 |     3181 |        0   |        0   |     400 |    3930 |   24654 |       0 |       0 |     112    |     0    |
       0  |    112 |     532 |     3229 |        0   |        0   |     401 |    3961 |   25105 |       0 |       0 |     113    |     0    |
       0  |    113 |     869 |     3277 |        0   |        0   |     402 |    4063 |   25822 |       0 |       0 |     114    |     0    |
       0  |    114 |     878 |     3334 |        0   |        0   |     403 |    4182 |   26522 |       0 |       0 |     115    |     0    |
       0  |    115 |     273 |     3361 |        0   |        0   |     406 |    4200 |   26746 |       0 |       0 |     116    |     0    |
       0  |    116 |     213 |     3391 |        0   |        0   |     413 |    4209 |   26912 |       0 |       0 |     117    |     0    |
