These stats, other than Total, are cummulative over previous MBs within each Frame
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
   Frame  |   MB   |  Total  |   Type   |  P Motion  |  B Motion  |   cbp   |    C    |    y    |    Cb   |    Cr   | Delta quan | Stuffing |
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
       0  |      0 |      28 |       18 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       1    |     0    |
       0  |      1 |       4 |       21 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       2    |     0    |
       0  |      2 |       4 |       24 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       3    |     0    |
       0  |      3 |       4 |       27 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       4    |     0    |
       0  |      4 |       4 |       30 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       5    |     0    |
       0  |      5 |       4 |       33 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       6    |     0    |
       0  |      6 |       4 |       36 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       7    |     0    |
       0  |      7 |       4 |       39 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       8    |     0    |
       0  |      8 |       4 |       42 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |       9    |     0    |
       0  |      9 |       4 |       45 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      10    |     0    |
       0  |     10 |       4 |       48 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      11    |     0    |
       0  |     11 |       4 |       51 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      12    |     0    |
       0  |     12 |       4 |       54 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      13    |     0    |
       0  |     13 |       4 |       57 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      14    |     0    |
       0  |     14 |       4 |       60 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      15    |     0    |
       0  |     15 |       4 |       63 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      16    |     0    |
       0  |     16 |       4 |       66 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      17    |     0    |
       0  |     17 |       4 |       69 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      18    |     0    |
       0  |     18 |       4 |       72 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      19    |     0    |
       0  |     19 |       4 |       75 |        0   |        0   |       9 |       0 |       0 |       0 |       0 |      20    |     0    |
       0  |     20 |      31 |       96 |        0   |        0   |      18 |       0 |       0 |       0 |       0 |      21    |     0    |
       0  |     21 |      10 |      105 |        0   |        0   |      18 |       0 |       0 |       0 |       0 |      22    |     0    |
       0  |     22 |      10 |      114 |        0   |        0   |      18 |       0 |       0 |       0 |       0 |      23    |     0    |
       0  |     23 |      31 |      135 |        0   |        0   |      27 |       0 |       0 |       0 |       0 |      24    |     0    |
       0  |     24 |      43 |      168 |        0   |        0   |      36 |       0 |       0 |       0 |       0 |      25    |     0    |
       0  |     25 |      10 |      177 |        0   |        0   |      36 |       0 |       0 |       0 |       0 |      26    |     0    |
       0  |     26 |       6 |      182 |        0   |        0   |      36 |       0 |       0 |       0 |       0 |      27    |     0    |
       0  |     27 |      31 |      203 |        0   |        0   |      45 |       0 |       0 |       0 |       0 |      28    |     0    |
       0  |     28 |      28 |      221 |        0   |        0   |      54 |       0 |       0 |       0 |       0 |      29    |     0    |
       0  |     29 |      30 |      239 |        0   |        0   |      65 |       0 |       0 |       0 |       0 |      30    |     0    |
       0  |     30 |      28 |      257 |        0   |        0   |      74 |       0 |       0 |       0 |       0 |      31    |     0    |
       0  |     31 |      28 |      275 |        0   |        0   |      83 |       0 |       0 |       0 |       0 |      32    |     0    |
       0  |     32 |      10 |      284 |        0   |        0   |      83 |       0 |       0 |       0 |       0 |      33    |     0    |
       0  |     33 |      37 |      311 |        0   |        0   |      92 |       0 |       0 |       0 |       0 |      34    |     0    |
       0  |     34 |      28 |      329 |        0   |        0   |     101 |       0 |       0 |       0 |       0 |      35    |     0    |
       0  |     35 |      28 |      347 |        0   |        0   |     110 |       0 |       0 |       0 |       0 |      36    |     0    |
       0  |     36 |      31 |      368 |        0   |        0   |     119 |       0 |       0 |       0 |       0 |      37    |     0    |
       0  |     37 |      19 |      377 |        0   |        0   |     128 |       0 |       0 |       0 |       0 |      38    |     0    |
       0  |     38 |      18 |      383 |        0   |        0   |     139 |       0 |       0 |       0 |       0 |      39    |     0    |
       0  |     39 |      28 |      401 |        0   |        0   |     148 |       0 |       0 |       0 |       0 |      40    |     0    |
       0  |     40 |      56 |      455 |        0   |        0   |     149 |       0 |       0 |       0 |       0 |      41    |     0    |
       0  |     41 |      50 |      503 |        0   |        0   |     150 |       0 |       0 |       0 |       0 |      42    |     0    |
       0  |     42 |      41 |      542 |        0   |        0   |     151 |       0 |       0 |       0 |       0 |      43    |     0    |
       0  |     43 |      10 |      548 |        0   |        0   |     154 |       0 |       0 |       0 |       0 |      44    |     0    |
       0  |     44 |      41 |      587 |        0   |        0   |     155 |       0 |       0 |       0 |       0 |      45    |     0    |
       0  |     45 |      33 |      614 |        0   |        0   |     160 |       0 |       0 |       0 |       0 |      46    |     0    |
       0  |     46 |      10 |      623 |        0   |        0   |     160 |       0 |       0 |       0 |       0 |      47    |     0    |
       0  |     47 |      28 |      647 |        0   |        0   |     163 |       0 |       0 |       0 |       0 |      48    |     0    |
       0  |     48 |      45 |      686 |        0   |        0   |     168 |       0 |       0 |       0 |       0 |      49    |     0    |
       0  |     49 |      42 |      722 |        0   |        0   |     173 |       0 |       0 |       0 |       0 |      50    |     0    |
       0  |     50 |      53 |      773 |        0   |        0   |     174 |       0 |       0 |       0 |       0 |      51    |     0    |
       0  |     51 |      14 |      785 |        0   |        0   |     175 |       0 |       0 |       0 |       0 |      52    |     0    |
       0  |     52 |      47 |      824 |        0   |        0   |     182 |       0 |       0 |       0 |       0 |      53    |     0    |
       0  |     53 |      52 |      866 |        0   |        0   |     191 |       0 |       0 |       0 |       0 |      54    |     0    |
       0  |     54 |      20 |      878 |        0   |        0   |     198 |       0 |       0 |       0 |       0 |      55    |     0    |
       0  |     55 |      53 |      929 |        0   |        0   |     199 |       0 |       0 |       0 |       0 |      56    |     0    |
       0  |     56 |      53 |      980 |        0   |        0   |     200 |       0 |       0 |       0 |       0 |      57    |     0    |
       0  |     57 |      13 |      989 |        0   |        0   |     203 |       0 |       0 |       0 |       0 |      58    |     0    |
       0  |     58 |       6 |      994 |        0   |        0   |     203 |       0 |       0 |       0 |       0 |      59    |     0    |
       0  |     59 |      59 |     1051 |        0   |        0   |     204 |       0 |       0 |       0 |       0 |      60    |     0    |
       0  |     60 |      59 |     1108 |        0   |        0   |     205 |       0 |       0 |       0 |       0 |      61    |     0    |
       0  |     61 |      56 |     1162 |        0   |        0   |     206 |       0 |       0 |       0 |       0 |      62    |     0    |
       0  |     62 |      52 |     1210 |        0   |        0   |     209 |       0 |       0 |       0 |       0 |      63    |     0    |
       0  |     63 |      40 |     1240 |        0   |        0   |     218 |       0 |       0 |       0 |       0 |      64    |     0    |
       0  |     64 |       4 |     1243 |        0   |        0   |     218 |       0 |       0 |       0 |       0 |      65    |     0    |
       0  |     65 |       4 |     1246 |        0   |        0   |     218 |       0 |       0 |       0 |       0 |      66    |     0    |
       0  |     66 |      18 |     1252 |        0   |        0   |     229 |       0 |       0 |       0 |       0 |      67    |     0    |
       0  |     67 |      61 |     1309 |        0   |        0   |     232 |       0 |       0 |       0 |       0 |      68    |     0    |
       0  |     68 |      53 |     1354 |        0   |        0   |     239 |       0 |       0 |       0 |       0 |      69    |     0    |
       0  |     69 |      41 |     1387 |        0   |        0   |     246 |       0 |       0 |       0 |       0 |      70    |     0    |
       0  |     70 |      47 |     1432 |        0   |        0   |     247 |       0 |       0 |       0 |       0 |      71    |     0    |
       0  |     71 |      65 |     1489 |        0   |        0   |     254 |       0 |       0 |       0 |       0 |      72    |     0    |
       0  |     72 |      55 |     1534 |        0   |        0   |     263 |       0 |       0 |       0 |       0 |      73    |     0    |
       0  |     73 |      22 |     1546 |        0   |        0   |     272 |       0 |       0 |       0 |       0 |      74    |     0    |
       0  |     74 |      39 |     1579 |        0   |        0   |     277 |       0 |       0 |       0 |       0 |      75    |     0    |
       0  |     75 |      44 |     1621 |        0   |        0   |     278 |       0 |       0 |       0 |       0 |      76    |     0    |
       0  |     76 |      38 |     1657 |        0   |        0   |     279 |       0 |       0 |       0 |       0 |      77    |     0    |
       0  |     77 |      40 |     1693 |        0   |        0   |     282 |       0 |       0 |       0 |       0 |      78    |     0    |
       0  |     78 |      37 |     1720 |        0   |        0   |     291 |       0 |       0 |       0 |       0 |      79    |     0    |
       0  |     79 |      64 |     1774 |        0   |        0   |     300 |       0 |       0 |       0 |       0 |      80    |     0    |
       0  |     80 |      59 |     1831 |        0   |        0   |     301 |       0 |       0 |       0 |       0 |      81    |     0    |
       0  |     81 |      44 |     1873 |        0   |        0   |     302 |       0 |       0 |       0 |       0 |      82    |     0    |
       0  |     82 |      49 |     1918 |        0   |        0   |     305 |       0 |       0 |       0 |       0 |      83    |     0    |
       0  |     83 |      49 |     1957 |        0   |        0   |     314 |       0 |       0 |       0 |       0 |      84    |     0    |
       0  |     84 |      43 |     1990 |        0   |        0   |     323 |       0 |       0 |       0 |       0 |      85    |     0    |
       0  |     85 |      49 |     2029 |        0   |        0   |     332 |       0 |       0 |       0 |       0 |      86    |     0    |
       0  |     86 |      46 |     2071 |        0   |        0   |     335 |       0 |       0 |       0 |       0 |      87    |     0    |
       0  |     87 |      49 |     2116 |        0   |        0   |     338 |       0 |       0 |       0 |       0 |      88    |     0    |
       0  |     88 |      55 |     2167 |        0   |        0   |     341 |       0 |       0 |       0 |       0 |      89    |     0    |
       0  |     89 |      52 |     2215 |        0   |        0   |     344 |       0 |       0 |       0 |       0 |      90    |     0    |
       0  |     90 |      62 |     2275 |        0   |        0   |     345 |       0 |       0 |       0 |       0 |      91    |     0    |
       0  |     91 |      47 |     2320 |        0   |        0   |     346 |       0 |       0 |       0 |       0 |      92    |     0    |
       0  |     92 |      50 |     2368 |        0   |        0   |     347 |       0 |       0 |       0 |       0 |      93    |     0    |
       0  |     93 |      39 |     2401 |        0   |        0   |     352 |       0 |       0 |       0 |       0 |      94    |     0    |
       0  |     94 |      44 |     2443 |        0   |        0   |     353 |       0 |       0 |       0 |       0 |      95    |     0    |
       0  |     95 |      18 |     2455 |        0   |        0   |     358 |       0 |       0 |       0 |       0 |      96    |     0    |
       0  |     96 |      28 |     2479 |        0   |        0   |     361 |       0 |       0 |       0 |       0 |      97    |     0    |
       0  |     97 |      55 |     2530 |        0   |        0   |     364 |       0 |       0 |       0 |       0 |      98    |     0    |
       0  |     98 |      55 |     2581 |        0   |        0   |     367 |       0 |       0 |       0 |       0 |      99    |     0    |
       0  |     99 |      52 |     2629 |        0   |        0   |     370 |       0 |       0 |       0 |       0 |     100    |     0    |
       0  |    100 |      47 |     2674 |        0   |        0   |     371 |       0 |       0 |       0 |       0 |     101    |     0    |
       0  |    101 |      47 |     2719 |        0   |        0   |     372 |       0 |       0 |       0 |       0 |     102    |     0    |
       0  |    102 |      59 |     2776 |        0   |        0   |     373 |       0 |       0 |       0 |       0 |     103    |     0    |
       0  |    103 |      26 |     2794 |        0   |        0   |     380 |       0 |       0 |       0 |       0 |     104    |     0    |
       0  |    104 |      28 |     2812 |        0   |        0   |     389 |       0 |       0 |       0 |       0 |     105    |     0    |
       0  |    105 |      67 |     2875 |        0   |        0   |     392 |       0 |       0 |       0 |       0 |     106    |     0    |
       0  |    106 |      58 |     2929 |        0   |        0   |     395 |       0 |       0 |       0 |       0 |     107    |     0    |
       0  |    107 |      44 |     2971 |        0   |        0   |     396 |       0 |       0 |       0 |       0 |     108    |     0    |
       0  |    108 |      56 |     3025 |        0   |        0   |     397 |       0 |       0 |       0 |       0 |     109    |     0    |
       0  |    109 |      53 |     3076 |        0   |        0   |     398 |       0 |       0 |       0 |       0 |     110    |     0    |
       0  |    110 |      53 |     3127 |        0   |        0   |     399 |       0 |       0 |       0 |       0 |     111    |     0    |
       0  |    111 |      56 |     3181 |        0   |        0   |     400 |       0 |       0 |       0 |       0 |     112    |     0    |
       0  |    112 |      50 |     3229 |        0   |        0   |     401 |       0 |       0 |       0 |       0 |     113    |     0    |
       0  |    113 |      50 |     3277 |        0   |        0   |     402 |       0 |       0 |       0 |       0 |     114    |     0    |
       0  |    114 |      59 |     3334 |        0   |        0   |     403 |       0 |       0 |       0 |       0 |     115    |     0    |
       0  |    115 |      31 |     3361 |        0   |        0   |     406 |       0 |       0 |       0 |       0 |     116    |     0    |
       0  |    116 |      38 |     3391 |        0   |        0   |     413 |       0 |       0 |       0 |       0 |     117    |     0    |
       0  |    117 |      41 |     3430 |        0   |        0   |     414 |       0 |       0 |       0 |       0 |     118    |     0    |
       0  |    118 |      56 |     3478 |        0   |        0   |     421 |       0 |       0 |       0 |       0 |     119    |     0    |
       0  |    119 |      51 |     3523 |        0   |        0   |     426 |       0 |       0 |       0 |       0 |     120    |     0    |
